09-20-2026 04:41:42 RAM 453/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [12%@1344,27%@1344,30%@1344,21%@1344,60%@1036,3%@1036] GR3D_FREQ 0% cpu@44.906C/44.906C soc2@45.062C/45.062C soc0@44.781C/44.781C gpu@45.312C/45.312C tj@45.312C/45.312C soc1@45.312C/45.312C VDD_IN 5655mW/5655mW/5655mW VDD_CPU_GPU_CV 1143mW/1143mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 04:41:42 RAM 447/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,0%@1344,84%@1344,12%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.156C/45.156C soc2@44.968C/45.062C soc0@44.812C/44.812C gpu@45.406C/45.406C tj@45.406C/45.406C soc1@45.218C/45.312C VDD_IN 5576mW/5616mW/5655mW VDD_CPU_GPU_CV 1025mW/1084mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 04:41:43 RAM 466/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [15%@1344,86%@1344,12%@1344,20%@1344,14%@729,12%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.093C/45.093C soc0@44.687C/44.812C gpu@45.375C/45.406C tj@45.375C/45.406C soc1@45.187C/45.312C VDD_IN 5567mW/5599mW/5655mW VDD_CPU_GPU_CV 1064mW/1077mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 04:41:43 RAM 485/7546MB (lfb 5x4MB) SWAP 0/2048MB (cached 0MB) CPU [16%@1344,92%@1344,16%@1344,13%@1344,14%@729,13%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.031C/45.093C soc0@44.687C/44.812C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.406C/45.406C VDD_IN 5576mW/5594mW/5655mW VDD_CPU_GPU_CV 1064mW/1074mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 04:41:44 RAM 629/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [3%@1344,94%@1344,2%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.312C soc2@45C/45.093C soc0@44.937C/44.937C gpu@45.281C/45.875C tj@45.406C/45.875C soc1@45.406C/45.406C VDD_IN 5537mW/5582mW/5655mW VDD_CPU_GPU_CV 1025mW/1064mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 04:41:44 RAM 644/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,98%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.312C soc2@45.125C/45.125C soc0@44.812C/44.937C gpu@45.843C/45.875C tj@45.843C/45.875C soc1@45.343C/45.406C VDD_IN 5449mW/5560mW/5655mW VDD_CPU_GPU_CV 985mW/1051mW/1143mW VDD_SOC 1461mW/1494mW/1500mW
09-20-2026 04:41:45 RAM 659/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,100%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.062C/45.125C soc0@44.812C/44.937C gpu@45.531C/45.875C tj@45.531C/45.875C soc1@45.125C/45.406C VDD_IN 5370mW/5533mW/5655mW VDD_CPU_GPU_CV 1025mW/1047mW/1143mW VDD_SOC 1461mW/1489mW/1500mW
09-20-2026 04:41:45 RAM 674/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.312C soc2@45.093C/45.125C soc0@44.781C/44.937C gpu@45.375C/45.875C tj@45.375C/45.875C soc1@45.25C/45.406C VDD_IN 5370mW/5513mW/5655mW VDD_CPU_GPU_CV 1025mW/1045mW/1143mW VDD_SOC 1461mW/1485mW/1500mW
09-20-2026 04:41:46 RAM 697/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,98%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.156C/45.312C soc2@45.062C/45.125C soc0@44.937C/44.937C gpu@45.406C/45.875C tj@45.406C/45.875C soc1@45.343C/45.406C VDD_IN 5370mW/5497mW/5655mW VDD_CPU_GPU_CV 1025mW/1042mW/1143mW VDD_SOC 1461mW/1483mW/1500mW
09-20-2026 04:41:46 RAM 743/7546MB (lfb 4x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,98%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.125C/45.125C soc0@44.968C/44.968C gpu@45.406C/45.875C tj@45.406C/45.875C soc1@45.343C/45.406C VDD_IN 5418mW/5489mW/5655mW VDD_CPU_GPU_CV 985mW/1037mW/1143mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 04:41:47 RAM 764/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.312C soc2@45.093C/45.125C soc0@44.812C/44.968C gpu@45.375C/45.875C tj@45.375C/45.875C soc1@45.281C/45.406C VDD_IN 5458mW/5486mW/5655mW VDD_CPU_GPU_CV 946mW/1028mW/1143mW VDD_SOC 1500mW/1482mW/1500mW
09-20-2026 04:41:47 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,1%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.312C soc2@45.093C/45.125C soc0@44.781C/44.968C gpu@45.75C/45.875C tj@45.75C/45.875C soc1@45.312C/45.406C VDD_IN 5449mW/5483mW/5655mW VDD_CPU_GPU_CV 985mW/1025mW/1143mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 04:41:48 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.312C soc2@45.062C/45.125C soc0@45C/45C gpu@45.593C/45.875C tj@45.593C/45.875C soc1@45.218C/45.406C VDD_IN 5409mW/5477mW/5655mW VDD_CPU_GPU_CV 1025mW/1025mW/1143mW VDD_SOC 1461mW/1479mW/1500mW
09-20-2026 04:41:48 RAM 770/7546MB (lfb 3x4MB) SWAP 0/2048MB (cached 0MB) CPU [1%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.187C/45.187C soc0@44.968C/45C gpu@45.437C/45.875C tj@45.437C/45.875C soc1@45.343C/45.406C VDD_IN 5379mW/5470mW/5655mW VDD_CPU_GPU_CV 1025mW/1025mW/1143mW VDD_SOC 1461mW/1478mW/1500mW
