09-20-2026 05:58:55 RAM 1471/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [63%@1344,9%@1344,4%@1344,11%@1344,9%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/44.937C soc2@45.125C/45.125C soc0@44.75C/44.75C gpu@45.281C/45.281C tj@45.281C/45.281C soc1@45.25C/45.25C VDD_IN 5330mW/5330mW/5330mW VDD_CPU_GPU_CV 906mW/906mW/906mW VDD_SOC 1461mW/1461mW/1461mW
09-20-2026 05:58:56 RAM 1492/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [32%@1344,5%@1344,40%@1344,25%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.375C/45.375C soc2@44.968C/45.125C soc0@44.718C/44.75C gpu@45.343C/45.343C tj@45.375C/45.375C soc1@45.25C/45.25C VDD_IN 5370mW/5350mW/5370mW VDD_CPU_GPU_CV 946mW/926mW/946mW VDD_SOC 1461mW/1461mW/1461mW
09-20-2026 05:58:56 RAM 1546/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,1%@1344,94%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.375C soc2@44.906C/45.125C soc0@44.781C/44.781C gpu@45.312C/45.343C tj@45.312C/45.375C soc1@45.187C/45.25C VDD_IN 5449mW/5383mW/5449mW VDD_CPU_GPU_CV 985mW/946mW/985mW VDD_SOC 1500mW/1474mW/1500mW
09-20-2026 05:58:57 RAM 1589/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,0%@1344,98%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.187C/45.375C soc2@44.968C/45.125C soc0@44.937C/44.937C gpu@45.25C/45.343C tj@45.25C/45.375C soc1@45.156C/45.25C VDD_IN 5488mW/5409mW/5488mW VDD_CPU_GPU_CV 985mW/956mW/985mW VDD_SOC 1500mW/1481mW/1500mW
09-20-2026 05:58:57 RAM 1628/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [3%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.375C soc2@45.125C/45.125C soc0@44.781C/44.937C gpu@45.281C/45.343C tj@45.437C/45.437C soc1@45.437C/45.437C VDD_IN 5488mW/5425mW/5488mW VDD_CPU_GPU_CV 985mW/961mW/985mW VDD_SOC 1500mW/1484mW/1500mW
09-20-2026 05:58:58 RAM 1663/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.218C/45.375C soc2@44.968C/45.125C soc0@44.75C/44.937C gpu@45.218C/45.343C tj@45.343C/45.437C soc1@45.343C/45.437C VDD_IN 5528mW/5442mW/5528mW VDD_CPU_GPU_CV 946mW/959mW/985mW VDD_SOC 1500mW/1487mW/1500mW
09-20-2026 05:58:58 RAM 1695/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,1%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.375C soc2@45C/45.125C soc0@44.75C/44.937C gpu@45.593C/45.593C tj@45.343C/45.437C soc1@45.25C/45.437C VDD_IN 5497mW/5450mW/5528mW VDD_CPU_GPU_CV 946mW/957mW/985mW VDD_SOC 1500mW/1489mW/1500mW
09-20-2026 05:58:59 RAM 1727/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,0%@1344,100%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.437C soc2@44.937C/45.125C soc0@44.718C/44.937C gpu@45.312C/45.593C tj@45.437C/45.437C soc1@45.343C/45.437C VDD_IN 5497mW/5456mW/5528mW VDD_CPU_GPU_CV 985mW/960mW/985mW VDD_SOC 1500mW/1490mW/1500mW
09-20-2026 05:58:59 RAM 1762/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.5C/45.5C soc2@45.062C/45.125C soc0@44.968C/44.968C gpu@45.625C/45.625C tj@45.625C/45.625C soc1@45.187C/45.437C VDD_IN 5537mW/5465mW/5537mW VDD_CPU_GPU_CV 946mW/959mW/985mW VDD_SOC 1500mW/1491mW/1500mW
09-20-2026 05:59:00 RAM 1765/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [0%@1344,0%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.187C/45.5C soc2@45.093C/45.125C soc0@44.875C/44.968C gpu@45.25C/45.625C tj@45.406C/45.625C soc1@45.406C/45.437C VDD_IN 5528mW/5471mW/5537mW VDD_CPU_GPU_CV 946mW/958mW/985mW VDD_SOC 1500mW/1492mW/1500mW
09-20-2026 05:59:00 RAM 1767/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [1%@1344,1%@1344,100%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.5C soc2@45.125C/45.125C soc0@44.812C/44.968C gpu@45.562C/45.625C tj@45.562C/45.625C soc1@45.343C/45.437C VDD_IN 5528mW/5476mW/5537mW VDD_CPU_GPU_CV 985mW/960mW/985mW VDD_SOC 1500mW/1493mW/1500mW
