accountsservice	23.13.9-2ubuntu6
acl	2.3.2-1build1.1
acpica-tools	20230628-1
adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-base	1.0.25+dfsg-0ubuntu7
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.13
alsa-utils	1.2.9-1ubuntu5
anacron	2.3-39ubuntu2
apg	2.2.3.dfsg.1-5build3
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7
apport	2.28.2-0ubuntu0.1
apport-core-dump-handler	2.28.2-0ubuntu0.1
apport-gtk	2.28.2-0ubuntu0.1
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-config-icons	1.0.2-1build6
apt-config-icons-hidpi	1.0.2-1build6
aptdaemon	1.1.1+bzr982-0ubuntu44
aptdaemon-data	1.1.1+bzr982-0ubuntu44
aspell	0.60.8.1-1build1
aspell-en	2020.12.07-0-1
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
auditd	1:3.1.2-2.1build1.1
autoconf	2.71-3
autotools-dev	20220109.1
avahi-daemon	0.8-13ubuntu6.2
avahi-utils	0.8-13ubuntu6.2
baobab	46.0-1build1
base-files	13ubuntu10.4
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.5
bind9-host	1:9.18.39-0ubuntu0.24.04.5
bind9-libs:arm64	1:9.18.39-0ubuntu0.24.04.5
binutils	2.42-4ubuntu2.10
binutils-aarch64-linux-gnu	2.42-4ubuntu2.10
binutils-common:arm64	2.42-4ubuntu2.10
bison	2:3.8.2+dfsg-1build2
blt	2.5.3+dfsg-7build1
bluez	5.72-0ubuntu5.5
bluez-obexd	5.72-0ubuntu5.5
bogl-bterm	0.1.18-22ubuntu2
bolt	0.9.7-1
bridge-utils	1.7.1-1ubuntu2
bsdextrautils	2.39.3-9ubuntu6.5
bsdutils	1:2.39.3-9ubuntu6.5
bubblewrap	0.9.0-1ubuntu0.1
build-essential	12.10ubuntu1
busybox-initramfs	1:1.36.1-6ubuntu3.1
busybox-static	1:1.36.1-6ubuntu3.1
bzip2	1.0.8-5.1build0.1
ca-certificates	20260601~24.04.1
can-utils	2023.03-1
cloud-guest-utils	0.33-1
cloud-init	26.1-0ubuntu1~24.04.1
cmake	3.28.3-1build7
cmake-data	3.28.3-1build7
colord	1.4.7-1build2
colord-data	1.4.7-1build2
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6.2
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04.1
cpp-13-aarch64-linux-gnu	13.3.0-6ubuntu2~24.04.1
cpp-aarch64-linux-gnu	4:13.2.0-7ubuntu1
cpuset	1.6.2-1
cracklib-runtime	2.9.6-5.1build2
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
cryptsetup	2:2.7.0-1ubuntu4.2
cryptsetup-bin	2:2.7.0-1ubuntu4.2
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2
cuda-cccl-13-2	13.2.86-1
cuda-crt-13-2	13.2.86-1
cuda-cudart-13-2	13.2.86-1
cuda-cudart-dev-13-2	13.2.86-1
cuda-culibos-dev-13-2	13.2.86-1
cuda-driver-dev-13-2	13.2.86-1
cuda-nvcc-13-2	13.2.86-1
cuda-nvrtc-13-2	13.2.86-1
cuda-nvrtc-dev-13-2	13.2.86-1
cuda-toolkit-13-2-config-common	13.2.86-1
cuda-toolkit-13-config-common	13.2.86-1
cuda-toolkit-config-common	13.2.86-1
curl	8.5.0-2ubuntu10.11
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dc	1.07.1-3ubuntu4
dconf-cli	0.40.0-4ubuntu0.1
dconf-gsettings-backend:arm64	0.40.0-4ubuntu0.1
dconf-service	0.40.0-4ubuntu0.1
dctrl-tools	2.24-3build3
debconf	1.5.86ubuntu1
debconf-utils	1.5.86ubuntu1
debianutils	5.17build1
deja-dup	45.2-1build2
desktop-file-utils	0.27-2build1
device-tree-compiler	1.7.0-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.2
dictionaries-common	1.29.7
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.4
distro-info	1.7build1
distro-info-data	0.60ubuntu0.6
dmidecode	3.5-3ubuntu0.1
dmsetup	2:1.02.185-3ubuntu3.2
dmz-cursor-theme	0.4.5ubuntu1
dns-root-data	2024071801~ubuntu0.24.04.1
dnsmasq	2.90-2ubuntu0.3
dnsmasq-base	2.90-2ubuntu0.3
docbook-xml	4.5-12
dosfstools	4.2-1.1build1
dpkg	1.22.6ubuntu6.6
dpkg-dev	1.22.6ubuntu6.6
dpkg-repack	1.52
dracut-install	060+5-1ubuntu3.3
duplicity	2.1.4-3ubuntu2
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.5
emacsen-common	3.0.5
