09-20-2026 06:01:20 RAM 1492/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [77%@1344,17%@1344,37%@1344,14%@1344,13%@729,13%@729] GR3D_FREQ 0% cpu@45.281C/45.281C soc2@45.343C/45.343C soc0@45.125C/45.125C gpu@45.812C/45.812C tj@45.812C/45.812C soc1@45.562C/45.562C VDD_IN 5449mW/5449mW/5449mW VDD_CPU_GPU_CV 1025mW/1025mW/1025mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 06:01:21 RAM 1496/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,0%@1344,0%@1344,1%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.375C/45.375C soc0@45.062C/45.125C gpu@45.656C/45.812C tj@45.656C/45.812C soc1@45.562C/45.562C VDD_IN 5449mW/5449mW/5449mW VDD_CPU_GPU_CV 1025mW/1025mW/1025mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 06:01:21 RAM 1510/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,1%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.281C/45.375C soc0@44.968C/45.125C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.562C/45.562C VDD_IN 5488mW/5462mW/5488mW VDD_CPU_GPU_CV 985mW/1012mW/1025mW VDD_SOC 1500mW/1487mW/1500mW
09-20-2026 06:01:22 RAM 1516/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.562C soc2@45.343C/45.375C soc0@45.031C/45.125C gpu@45.656C/45.875C tj@45.656C/45.875C soc1@45.531C/45.562C VDD_IN 5409mW/5449mW/5488mW VDD_CPU_GPU_CV 985mW/1005mW/1025mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 06:01:22 RAM 1516/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [58%@729,2%@729,2%@729,0%@729,45%@1344,0%@1344] GR3D_FREQ 0% cpu@45.312C/45.562C soc2@45.218C/45.375C soc0@45.156C/45.156C gpu@45.625C/45.875C tj@45.656C/45.875C soc1@45.656C/45.656C VDD_IN 5409mW/5441mW/5488mW VDD_CPU_GPU_CV 1025mW/1009mW/1025mW VDD_SOC 1461mW/1477mW/1500mW
09-20-2026 06:01:23 RAM 1516/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [92%@1344,0%@1344,0%@1344,0%@1344,7%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.562C soc2@45.406C/45.406C soc0@45.093C/45.156C gpu@45.625C/45.875C tj@45.625C/45.875C soc1@45.625C/45.656C VDD_IN 5370mW/5429mW/5488mW VDD_CPU_GPU_CV 985mW/1005mW/1025mW VDD_SOC 1461mW/1474mW/1500mW
09-20-2026 06:01:23 RAM 1647/7546MB (lfb 53x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.562C soc2@45.343C/45.406C soc0@45.125C/45.156C gpu@45.625C/45.875C tj@45.625C/45.875C soc1@45.593C/45.656C VDD_IN 5528mW/5443mW/5528mW VDD_CPU_GPU_CV 985mW/1002mW/1025mW VDD_SOC 1500mW/1478mW/1500mW
09-20-2026 06:01:24 RAM 1705/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.562C soc2@45.281C/45.406C soc0@45.093C/45.156C gpu@45.656C/45.875C tj@45.656C/45.875C soc1@45.656C/45.656C VDD_IN 5607mW/5464mW/5607mW VDD_CPU_GPU_CV 946mW/995mW/1025mW VDD_SOC 1540mW/1486mW/1540mW
09-20-2026 06:01:24 RAM 1705/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,3%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.75C/45.75C soc2@45.375C/45.406C soc0@45.062C/45.156C gpu@45.562C/45.875C tj@45.75C/45.875C soc1@45.562C/45.656C VDD_IN 5497mW/5467mW/5607mW VDD_CPU_GPU_CV 867mW/981mW/1025mW VDD_SOC 1540mW/1492mW/1540mW
09-20-2026 06:01:25 RAM 1744/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.593C/45.75C soc2@45.312C/45.406C soc0@45.218C/45.218C gpu@46.093C/46.093C tj@46.093C/46.093C soc1@45.593C/45.656C VDD_IN 5616mW/5482mW/5616mW VDD_CPU_GPU_CV 946mW/977mW/1025mW VDD_SOC 1540mW/1496mW/1540mW
09-20-2026 06:01:25 RAM 1744/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.75C soc2@45.406C/45.406C soc0@45.187C/45.218C gpu@45.843C/46.093C tj@45.687C/46.093C soc1@45.687C/45.687C VDD_IN 5616mW/5494mW/5616mW VDD_CPU_GPU_CV 906mW/971mW/1025mW VDD_SOC 1540mW/1500mW/1540mW
09-20-2026 06:01:26 RAM 1755/7546MB (lfb 52x4MB) SWAP 8/2048MB (cached 3MB) CPU [97%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.75C soc2@45.343C/45.406C soc0@45.125C/45.218C gpu@45.937C/46.093C tj@45.937C/46.093C soc1@45.656C/45.687C VDD_IN 5537mW/5498mW/5616mW VDD_CPU_GPU_CV 908mW/966mW/1025mW VDD_SOC 1540mW/1504mW/1540mW
09-20-2026 06:01:26 RAM 1480/7546MB (lfb 55x4MB) SWAP 8/2048MB (cached 3MB) CPU [83%@1344,0%@1113,4%@1113,13%@1113,1%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.75C soc2@45.312C/45.406C soc0@45.062C/45.218C gpu@45.875C/46.093C tj@45.875C/46.093C soc1@45.593C/45.687C VDD_IN 5576mW/5504mW/5616mW VDD_CPU_GPU_CV 906mW/961mW/1025mW VDD_SOC 1540mW/1506mW/1540mW
