09-20-2026 06:40:26 RAM 1506/7546MB (lfb 113x4MB) SWAP 23/2048MB (cached 10MB) CPU [22%@1344,98%@1344,21%@1344,15%@1344,14%@729,12%@729] GR3D_FREQ 0% cpu@44.937C/44.937C soc2@44.843C/44.843C soc0@44.843C/44.843C gpu@45.125C/45.125C tj@45.125C/45.125C soc1@45.125C/45.125C VDD_IN 5576mW/5576mW/5576mW VDD_CPU_GPU_CV 1026mW/1026mW/1026mW VDD_SOC 1502mW/1502mW/1502mW
09-20-2026 06:40:27 RAM 1498/7546MB (lfb 114x4MB) SWAP 23/2048MB (cached 10MB) CPU [7%@1344,100%@1344,11%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.968C/44.968C soc2@45C/45C soc0@44.781C/44.843C gpu@45.593C/45.593C tj@45.593C/45.593C soc1@45.343C/45.343C VDD_IN 5576mW/5576mW/5576mW VDD_CPU_GPU_CV 987mW/1007mW/1026mW VDD_SOC 1542mW/1522mW/1542mW
09-20-2026 06:40:27 RAM 1505/7546MB (lfb 110x4MB) SWAP 23/2048MB (cached 10MB) CPU [4%@1344,100%@1344,10%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.968C/44.968C soc2@45C/45C soc0@44.656C/44.843C gpu@45.187C/45.593C tj@45.343C/45.593C soc1@45.343C/45.343C VDD_IN 5616mW/5589mW/5616mW VDD_CPU_GPU_CV 987mW/1000mW/1026mW VDD_SOC 1542mW/1529mW/1542mW
09-20-2026 06:40:28 RAM 1499/7546MB (lfb 110x4MB) SWAP 23/2048MB (cached 10MB) CPU [5%@1344,96%@1344,8%@1344,0%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.031C/45.031C soc0@44.75C/44.843C gpu@45.562C/45.593C tj@45.562C/45.593C soc1@45.218C/45.343C VDD_IN 5616mW/5596mW/5616mW VDD_CPU_GPU_CV 987mW/997mW/1026mW VDD_SOC 1579mW/1541mW/1579mW
09-20-2026 06:40:28 RAM 1493/7546MB (lfb 95x4MB) SWAP 23/2048MB (cached 10MB) CPU [4%@1344,100%@1344,11%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@45.031C/45.031C soc0@44.687C/44.843C gpu@45.375C/45.593C tj@45.375C/45.593C soc1@45.218C/45.343C VDD_IN 5655mW/5608mW/5655mW VDD_CPU_GPU_CV 987mW/995mW/1026mW VDD_SOC 1579mW/1549mW/1579mW
09-20-2026 06:40:29 RAM 1492/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [7%@1344,100%@1344,15%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.031C/45.031C soc0@44.718C/44.843C gpu@45.562C/45.593C tj@45.562C/45.593C soc1@45.125C/45.343C VDD_IN 5655mW/5616mW/5655mW VDD_CPU_GPU_CV 985mW/993mW/1026mW VDD_SOC 1579mW/1554mW/1579mW
09-20-2026 06:40:29 RAM 1489/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@1344,100%@1344,6%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.875C/45.312C soc2@44.968C/45.031C soc0@44.75C/44.843C gpu@45.437C/45.593C tj@45.437C/45.593C soc1@45.375C/45.375C VDD_IN 5576mW/5610mW/5655mW VDD_CPU_GPU_CV 947mW/987mW/1026mW VDD_SOC 1540mW/1552mW/1579mW
09-20-2026 06:40:30 RAM 1485/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.906C/45.312C soc2@45.062C/45.062C soc0@44.718C/44.843C gpu@45.281C/45.593C tj@45.312C/45.593C soc1@45.312C/45.375C VDD_IN 5537mW/5601mW/5655mW VDD_CPU_GPU_CV 908mW/977mW/1026mW VDD_SOC 1540mW/1550mW/1579mW
09-20-2026 06:40:30 RAM 1493/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,98%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@44.968C/45.062C soc0@44.718C/44.843C gpu@45.375C/45.593C tj@45.375C/45.593C soc1@45.218C/45.375C VDD_IN 5497mW/5589mW/5655mW VDD_CPU_GPU_CV 908mW/969mW/1026mW VDD_SOC 1540mW/1549mW/1579mW
09-20-2026 06:40:31 RAM 1509/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@1344,94%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.312C soc2@44.968C/45.062C soc0@44.656C/44.843C gpu@45.312C/45.593C tj@45.312C/45.593C soc1@45.218C/45.375C VDD_IN 5497mW/5580mW/5655mW VDD_CPU_GPU_CV 987mW/971mW/1026mW VDD_SOC 1500mW/1544mW/1579mW
09-20-2026 06:40:31 RAM 1509/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [3%@1344,94%@1344,3%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.312C soc2@44.968C/45.062C soc0@44.687C/44.843C gpu@45.156C/45.593C tj@45.375C/45.593C soc1@45.375C/45.375C VDD_IN 5497mW/5573mW/5655mW VDD_CPU_GPU_CV 987mW/972mW/1026mW VDD_SOC 1500mW/1540mW/1579mW
09-20-2026 06:40:32 RAM 1516/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@1344,96%@1344,2%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.312C soc2@45.062C/45.062C soc0@44.906C/44.906C gpu@45.531C/45.593C tj@45.531C/45.593C soc1@45.343C/45.375C VDD_IN 5418mW/5560mW/5655mW VDD_CPU_GPU_CV 985mW/973mW/1026mW VDD_SOC 1461mW/1534mW/1579mW
09-20-2026 06:40:32 RAM 1519/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,94%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.875C/45.312C soc2@45.031C/45.062C soc0@44.781C/44.906C gpu@45.406C/45.593C tj@45.406C/45.593C soc1@45.343C/45.375C VDD_IN 5418mW/5549mW/5655mW VDD_CPU_GPU_CV 987mW/974mW/1026mW VDD_SOC 1461mW/1528mW/1579mW
09-20-2026 06:40:33 RAM 1517/7546MB (lfb 47x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.156C/45.312C soc2@44.968C/45.062C soc0@44.812C/44.906C gpu@45.562C/45.593C tj@45.562C/45.593C soc1@45.25C/45.375C VDD_IN 5379mW/5537mW/5655mW VDD_CPU_GPU_CV 987mW/975mW/1026mW VDD_SOC 1461mW/1523mW/1579mW
09-20-2026 06:40:33 RAM 1625/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@1344,98%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45C/45.062C soc0@44.75C/44.906C gpu@45.375C/45.593C tj@45.375C/45.593C soc1@45.281C/45.375C VDD_IN 5497mW/5534mW/5655mW VDD_CPU_GPU_CV 987mW/976mW/1026mW VDD_SOC 1500mW/1522mW/1579mW
09-20-2026 06:40:34 RAM 1704/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@44.968C/45.062C soc0@44.875C/44.906C gpu@45.281C/45.593C tj@45.375C/45.593C soc1@45.375C/45.375C VDD_IN 5695mW/5544mW/5695mW VDD_CPU_GPU_CV 987mW/977mW/1026mW VDD_SOC 1540mW/1523mW/1579mW
09-20-2026 06:40:34 RAM 1704/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,1%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@45.125C/45.125C soc0@44.906C/44.906C gpu@45.218C/45.593C tj@45.406C/45.593C soc1@45.343C/45.375C VDD_IN 5567mW/5545mW/5695mW VDD_CPU_GPU_CV 906mW/973mW/1026mW VDD_SOC 1540mW/1524mW/1579mW
09-20-2026 06:40:35 RAM 1706/7546MB (lfb 42x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.312C/45.312C soc2@45.062C/45.125C soc0@44.843C/44.906C gpu@45.281C/45.593C tj@45.343C/45.593C soc1@45.343C/45.375C VDD_IN 5576mW/5547mW/5695mW VDD_CPU_GPU_CV 947mW/971mW/1026mW VDD_SOC 1540mW/1525mW/1579mW
09-20-2026 06:40:35 RAM 1744/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.156C/45.312C soc2@45.031C/45.125C soc0@44.781C/44.906C gpu@45.25C/45.593C tj@45.281C/45.593C soc1@45.281C/45.375C VDD_IN 5655mW/5553mW/5695mW VDD_CPU_GPU_CV 947mW/970mW/1026mW VDD_SOC 1540mW/1526mW/1579mW
09-20-2026 06:40:36 RAM 1744/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.125C/45.312C soc2@45.093C/45.125C soc0@44.968C/44.968C gpu@45.531C/45.593C tj@45.531C/45.593C soc1@45.25C/45.375C VDD_IN 5537mW/5552mW/5695mW VDD_CPU_GPU_CV 906mW/967mW/1026mW VDD_SOC 1540mW/1526mW/1579mW
09-20-2026 06:40:36 RAM 1752/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.312C soc2@45.093C/45.125C soc0@44.968C/44.968C gpu@45.437C/45.593C tj@45.437C/45.593C soc1@45.437C/45.437C VDD_IN 5655mW/5557mW/5695mW VDD_CPU_GPU_CV 946mW/966mW/1026mW VDD_SOC 1540mW/1527mW/1579mW
09-20-2026 06:40:37 RAM 1775/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@1344,100%@1344,0%@1344,1%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@44.968C/45.125C soc0@44.906C/44.968C gpu@45.593C/45.593C tj@45.593C/45.593C soc1@45.343C/45.437C VDD_IN 5616mW/5560mW/5695mW VDD_CPU_GPU_CV 908mW/963mW/1026mW VDD_SOC 1540mW/1528mW/1579mW
09-20-2026 06:40:37 RAM 1775/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@44.875C/45.312C soc2@45.093C/45.125C soc0@44.875C/44.968C gpu@45.375C/45.593C tj@45.375C/45.593C soc1@45.343C/45.437C VDD_IN 5497mW/5557mW/5695mW VDD_CPU_GPU_CV 867mW/959mW/1026mW VDD_SOC 1540mW/1528mW/1579mW
09-20-2026 06:40:38 RAM 1779/7546MB (lfb 42x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.312C soc2@45.031C/45.125C soc0@44.843C/44.968C gpu@45.343C/45.593C tj@45.343C/45.593C soc1@45.25C/45.437C VDD_IN 5616mW/5559mW/5695mW VDD_CPU_GPU_CV 947mW/958mW/1026mW VDD_SOC 1542mW/1529mW/1579mW
09-20-2026 06:40:38 RAM 1791/7546MB (lfb 41x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.25C/45.312C soc2@45C/45.125C soc0@44.937C/44.968C gpu@45.468C/45.593C tj@45.468C/45.593C soc1@45.343C/45.437C VDD_IN 5576mW/5560mW/5695mW VDD_CPU_GPU_CV 908mW/956mW/1026mW VDD_SOC 1542mW/1529mW/1579mW
09-20-2026 06:40:39 RAM 1766/7546MB (lfb 45x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@1344,100%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.031C/45.312C soc2@45.125C/45.125C soc0@44.968C/44.968C gpu@45.406C/45.593C tj@45.406C/45.593C soc1@45.437C/45.437C VDD_IN 5537mW/5559mW/5695mW VDD_CPU_GPU_CV 908mW/955mW/1026mW VDD_SOC 1540mW/1530mW/1579mW
09-20-2026 06:40:39 RAM 1765/7546MB (lfb 45x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@1344,94%@1344,2%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45C/45.312C soc2@45.125C/45.125C soc0@44.937C/44.968C gpu@45.781C/45.781C tj@45.781C/45.781C soc1@45.343C/45.437C VDD_IN 5537mW/5558mW/5695mW VDD_CPU_GPU_CV 947mW/954mW/1026mW VDD_SOC 1500mW/1529mW/1579mW
09-20-2026 06:40:40 RAM 1791/7546MB (lfb 45x4MB) SWAP 23/2048MB (cached 10MB) CPU [16%@1344,92%@1344,16%@1344,14%@1344,12%@729,14%@729] GR3D_FREQ 0% cpu@45.281C/45.312C soc2@45.062C/45.125C soc0@44.843C/44.968C gpu@45.406C/45.781C tj@45.406C/45.781C soc1@45.343C/45.437C VDD_IN 5576mW/5559mW/5695mW VDD_CPU_GPU_CV 1026mW/957mW/1026mW VDD_SOC 1502mW/1528mW/1579mW
09-20-2026 06:40:40 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,11%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.312C soc2@45.062C/45.125C soc0@44.875C/44.968C gpu@45.718C/45.781C tj@45.718C/45.781C soc1@45.375C/45.437C VDD_IN 5014mW/5540mW/5695mW VDD_CPU_GPU_CV 671mW/947mW/1026mW VDD_SOC 1461mW/1525mW/1579mW
09-20-2026 06:40:41 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@45.062C/45.312C soc2@44.968C/45.125C soc0@45.031C/45.031C gpu@45.312C/45.781C tj@45.343C/45.781C soc1@45.343C/45.437C VDD_IN 4778mW/5515mW/5695mW VDD_CPU_GPU_CV 513mW/933mW/1026mW VDD_SOC 1461mW/1523mW/1579mW
09-20-2026 06:40:41 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@45.031C/45.125C soc0@45C/45.031C gpu@45.625C/45.781C tj@45.625C/45.781C soc1@45.437C/45.437C VDD_IN 4699mW/5488mW/5695mW VDD_CPU_GPU_CV 473mW/918mW/1026mW VDD_SOC 1461mW/1521mW/1579mW
09-20-2026 06:40:42 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.75C/45.312C soc2@45.031C/45.125C soc0@44.875C/45.031C gpu@45.437C/45.781C tj@45.437C/45.781C soc1@45.375C/45.437C VDD_IN 4659mW/5463mW/5695mW VDD_CPU_GPU_CV 473mW/904mW/1026mW VDD_SOC 1461mW/1519mW/1579mW
09-20-2026 06:40:42 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.937C/45.312C soc2@45C/45.125C soc0@44.843C/45.031C gpu@45.687C/45.781C tj@45.687C/45.781C soc1@45.343C/45.437C VDD_IN 4699mW/5439mW/5695mW VDD_CPU_GPU_CV 473mW/891mW/1026mW VDD_SOC 1461mW/1517mW/1579mW
09-20-2026 06:40:43 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.843C/45.312C soc2@45.031C/45.125C soc0@44.812C/45.031C gpu@45.406C/45.781C tj@45.406C/45.781C soc1@45.281C/45.437C VDD_IN 4699mW/5418mW/5695mW VDD_CPU_GPU_CV 473mW/878mW/1026mW VDD_SOC 1461mW/1516mW/1579mW
09-20-2026 06:40:43 RAM 1806/7546MB (lfb 46x4MB) SWAP 23/2048MB (cached 10MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.968C/45.312C soc2@45.062C/45.125C soc0@44.75C/45.031C gpu@45.375C/45.781C tj@45.375C/45.781C soc1@45.312C/45.437C VDD_IN 4659mW/5396mW/5695mW VDD_CPU_GPU_CV 473mW/867mW/1026mW VDD_SOC 1461mW/1514mW/1579mW
