09-21-2026 03:56:31 RAM 1497/7546MB (lfb 79x4MB) CPU [33%@1344,12%@1344,14%@1344,78%@1344,13%@729,13%@729] GR3D_FREQ 0% cpu@50.281C/50.281C soc2@49.968C/49.968C soc0@50.031C/50.031C gpu@51.156C/51.156C tj@51.156C/51.156C soc1@50.625C/50.625C VDD_IN 5646mW/5646mW/5646mW VDD_CPU_GPU_CV 1025mW/1025mW/1025mW VDD_SOC 1540mW/1540mW/1540mW
09-21-2026 03:56:32 RAM 1496/7546MB (lfb 79x4MB) CPU [1%@1344,0%@1344,3%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.281C soc2@49.937C/49.968C soc0@50C/50.031C gpu@50.812C/51.156C tj@50.812C/51.156C soc1@50.625C/50.625C VDD_IN 5607mW/5627mW/5646mW VDD_CPU_GPU_CV 946mW/986mW/1025mW VDD_SOC 1540mW/1540mW/1540mW
09-21-2026 03:56:32 RAM 1501/7546MB (lfb 79x4MB) CPU [4%@1344,0%@1344,10%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.5C/50.5C soc2@49.906C/49.968C soc0@50C/50.031C gpu@51.187C/51.187C tj@51.187C/51.187C soc1@50.5C/50.625C VDD_IN 5646mW/5633mW/5646mW VDD_CPU_GPU_CV 985mW/985mW/1025mW VDD_SOC 1579mW/1553mW/1579mW
09-21-2026 03:56:33 RAM 1499/7546MB (lfb 70x4MB) CPU [6%@1344,0%@1344,11%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.406C/50.5C soc2@49.812C/49.968C soc0@49.968C/50.031C gpu@50.781C/51.187C tj@50.781C/51.187C soc1@50.531C/50.625C VDD_IN 5686mW/5646mW/5686mW VDD_CPU_GPU_CV 985mW/985mW/1025mW VDD_SOC 1579mW/1560mW/1579mW
09-21-2026 03:56:33 RAM 1499/7546MB (lfb 54x4MB) CPU [4%@1344,0%@1344,10%@1344,98%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.531C/50.531C soc2@49.812C/49.968C soc0@50.156C/50.156C gpu@51.187C/51.187C tj@51.187C/51.187C soc1@50.437C/50.625C VDD_IN 5686mW/5654mW/5686mW VDD_CPU_GPU_CV 985mW/985mW/1025mW VDD_SOC 1579mW/1563mW/1579mW
09-21-2026 03:56:34 RAM 1494/7546MB (lfb 40x4MB) CPU [4%@1344,0%@1344,12%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.375C/50.531C soc2@49.843C/49.968C soc0@50C/50.156C gpu@51C/51.187C tj@51C/51.187C soc1@50.656C/50.656C VDD_IN 5686mW/5660mW/5686mW VDD_CPU_GPU_CV 985mW/985mW/1025mW VDD_SOC 1579mW/1566mW/1579mW
09-21-2026 03:56:34 RAM 1497/7546MB (lfb 61x2MB) CPU [5%@1344,0%@1344,13%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.218C/50.531C soc2@49.812C/49.968C soc0@50C/50.156C gpu@50.812C/51.187C tj@50.812C/51.187C soc1@50.531C/50.656C VDD_IN 5686mW/5663mW/5686mW VDD_CPU_GPU_CV 985mW/985mW/1025mW VDD_SOC 1579mW/1568mW/1579mW
09-21-2026 03:56:35 RAM 1420/7546MB (lfb 7x2MB) CPU [4%@1344,3%@1344,10%@1344,100%@1344,11%@729,0%@729] GR3D_FREQ 0% cpu@50.312C/50.531C soc2@49.718C/49.968C soc0@49.968C/50.156C gpu@50.906C/51.187C tj@50.906C/51.187C soc1@50.468C/50.656C VDD_IN 5725mW/5671mW/5725mW VDD_CPU_GPU_CV 1025mW/990mW/1025mW VDD_SOC 1579mW/1569mW/1579mW
09-21-2026 03:56:35 RAM 1334/7546MB (lfb 3x4MB) CPU [4%@1344,0%@1344,9%@1344,100%@1344,15%@729,0%@729] GR3D_FREQ 0% cpu@50.5C/50.531C soc2@49.843C/49.968C soc0@49.875C/50.156C gpu@50.781C/51.187C tj@50.781C/51.187C soc1@50.375C/50.656C VDD_IN 5686mW/5673mW/5725mW VDD_CPU_GPU_CV 1025mW/994mW/1025mW VDD_SOC 1579mW/1570mW/1579mW
09-21-2026 03:56:36 RAM 1332/7546MB (lfb 3x4MB) CPU [1%@1344,3%@1344,1%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@50.156C/50.531C soc2@49.687C/49.968C soc0@50.093C/50.156C gpu@50.718C/51.187C tj@50.718C/51.187C soc1@50.562C/50.656C VDD_IN 5607mW/5666mW/5725mW VDD_CPU_GPU_CV 946mW/989mW/1025mW VDD_SOC 1579mW/1571mW/1579mW
09-21-2026 03:56:36 RAM 1335/7546MB (lfb 3x4MB) CPU [0%@1344,2%@1344,0%@1344,100%@1344,1%@729,0%@729] GR3D_FREQ 0% cpu@50.25C/50.531C soc2@49.718C/49.968C soc0@50C/50.156C gpu@50.718C/51.187C tj@50.718C/51.187C soc1@50.562C/50.656C VDD_IN 5567mW/5657mW/5725mW VDD_CPU_GPU_CV 946mW/985mW/1025mW VDD_SOC 1579mW/1572mW/1579mW
