09-21-2026 04:01:24 RAM 1395/7546MB (lfb 32x4MB) CPU [58%@1344,18%@1344,7%@1344,48%@1344,2%@1344,0%@1344] GR3D_FREQ 0% cpu@49.156C/49.156C soc2@48.75C/48.75C soc0@48.656C/48.656C gpu@49.281C/49.281C tj@49.281C/49.281C soc1@49.218C/49.218C VDD_IN 5567mW/5567mW/5567mW VDD_CPU_GPU_CV 1103mW/1103mW/1103mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:25 RAM 1442/7546MB (lfb 32x4MB) CPU [21%@1344,13%@1344,72%@1344,28%@1344,24%@729,1%@729] GR3D_FREQ 0% cpu@49.062C/49.156C soc2@48.593C/48.75C soc0@48.656C/48.656C gpu@49.312C/49.312C tj@49.312C/49.312C soc1@49.218C/49.218C VDD_IN 5686mW/5627mW/5686mW VDD_CPU_GPU_CV 1143mW/1123mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:25 RAM 1482/7546MB (lfb 32x4MB) CPU [3%@1344,1%@1344,100%@1344,3%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.437C/49.437C soc2@48.562C/48.75C soc0@48.562C/48.656C gpu@49.312C/49.312C tj@49.437C/49.437C soc1@49.156C/49.218C VDD_IN 5567mW/5607mW/5686mW VDD_CPU_GPU_CV 1064mW/1103mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:26 RAM 1479/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,77%@1344,22%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.312C/49.437C soc2@48.562C/48.75C soc0@48.562C/48.656C gpu@49.281C/49.312C tj@49.312C/49.437C soc1@49.156C/49.218C VDD_IN 5528mW/5587mW/5686mW VDD_CPU_GPU_CV 985mW/1074mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:26 RAM 1542/7546MB (lfb 32x4MB) CPU [5%@1344,2%@1344,3%@1344,100%@1344,3%@729,7%@729] GR3D_FREQ 0% cpu@49C/49.437C soc2@48.718C/48.75C soc0@48.656C/48.656C gpu@49.656C/49.656C tj@49.656C/49.656C soc1@49.218C/49.218C VDD_IN 5567mW/5583mW/5686mW VDD_CPU_GPU_CV 1064mW/1072mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:27 RAM 1559/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.968C/49.437C soc2@48.718C/48.75C soc0@48.593C/48.656C gpu@49.468C/49.656C tj@49.468C/49.656C soc1@49.187C/49.218C VDD_IN 5528mW/5574mW/5686mW VDD_CPU_GPU_CV 985mW/1057mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:28 RAM 1559/7546MB (lfb 32x4MB) CPU [1%@1344,1%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.156C/49.437C soc2@48.625C/48.75C soc0@48.593C/48.656C gpu@49.281C/49.656C tj@49.625C/49.656C soc1@49.125C/49.218C VDD_IN 5488mW/5562mW/5686mW VDD_CPU_GPU_CV 1025mW/1053mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:28 RAM 1550/7546MB (lfb 32x4MB) CPU [0%@1344,0%@1344,0%@1344,100%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@49.343C/49.437C soc2@48.531C/48.75C soc0@48.562C/48.656C gpu@49.375C/49.656C tj@49.375C/49.656C soc1@49.093C/49.218C VDD_IN 5488mW/5552mW/5686mW VDD_CPU_GPU_CV 1025mW/1049mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:29 RAM 1519/7546MB (lfb 32x4MB) CPU [1%@1344,0%@1344,0%@1344,100%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@49.093C/49.437C soc2@48.562C/48.75C soc0@48.718C/48.718C gpu@49.281C/49.656C tj@49.343C/49.656C soc1@49.343C/49.343C VDD_IN 5488mW/5545mW/5686mW VDD_CPU_GPU_CV 1064mW/1051mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:29 RAM 1544/7546MB (lfb 32x4MB) CPU [0%@1344,50%@1344,0%@1344,49%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@48.812C/49.437C soc2@48.718C/48.75C soc0@48.625C/48.718C gpu@49.218C/49.656C tj@49.281C/49.656C soc1@49.281C/49.343C VDD_IN 5488mW/5540mW/5686mW VDD_CPU_GPU_CV 1025mW/1048mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:30 RAM 1581/7546MB (lfb 32x4MB) CPU [2%@1344,100%@1344,1%@1344,0%@1344,1%@729,2%@729] GR3D_FREQ 0% cpu@49.156C/49.437C soc2@48.718C/48.75C soc0@48.562C/48.718C gpu@49.593C/49.656C tj@49.593C/49.656C soc1@49.093C/49.343C VDD_IN 5528mW/5538mW/5686mW VDD_CPU_GPU_CV 1025mW/1046mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:30 RAM 1507/7546MB (lfb 32x4MB) CPU [2%@729,94%@729,4%@729,0%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@48.937C/49.437C soc2@48.687C/48.75C soc0@48.5C/48.718C gpu@49.75C/49.75C tj@49.75C/49.75C soc1@49.187C/49.343C VDD_IN 5528mW/5538mW/5686mW VDD_CPU_GPU_CV 1025mW/1044mW/1143mW VDD_SOC 1500mW/1500mW/1500mW
09-21-2026 04:01:31 RAM 1564/7546MB (lfb 32x4MB) CPU [1%@1344,18%@1344,88%@1344,7%@1344,73%@1344,0%@1344] GR3D_FREQ 0% cpu@49.25C/49.437C soc2@48.625C/48.75C soc0@48.5C/48.718C gpu@49.593C/49.75C tj@49.593C/49.75C soc1@49.093C/49.343C VDD_IN 5883mW/5564mW/5883mW VDD_CPU_GPU_CV 1300mW/1064mW/1300mW VDD_SOC 1540mW/1503mW/1540mW
09-21-2026 04:01:31 RAM 1492/7546MB (lfb 32x4MB) CPU [1%@1344,0%@1344,90%@1344,4%@1344,6%@729,0%@729] GR3D_FREQ 0% cpu@49.093C/49.437C soc2@48.562C/48.75C soc0@48.656C/48.718C gpu@49.375C/49.75C tj@49.406C/49.75C soc1@49.218C/49.343C VDD_IN 5567mW/5564mW/5883mW VDD_CPU_GPU_CV 1064mW/1064mW/1300mW VDD_SOC 1500mW/1503mW/1540mW
