09-20-2026 06:09:40 RAM 1494/7546MB (lfb 87x4MB) SWAP 8/2048MB (cached 3MB) CPU [35%@1344,30%@1344,28%@1344,16%@1344,13%@1344,0%@1344] GR3D_FREQ 0% cpu@45.531C/45.531C soc2@45.375C/45.375C soc0@45.156C/45.156C gpu@45.687C/45.687C tj@45.687C/45.687C soc1@45.625C/45.625C VDD_IN 5488mW/5488mW/5488mW VDD_CPU_GPU_CV 1064mW/1064mW/1064mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 06:09:41 RAM 1496/7546MB (lfb 87x4MB) SWAP 8/2048MB (cached 3MB) CPU [18%@1344,0%@1344,76%@1344,5%@1344,73%@729,0%@729] GR3D_FREQ 0% cpu@45.468C/45.531C soc2@45.437C/45.437C soc0@45.093C/45.156C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.625C/45.625C VDD_IN 5735mW/5612mW/5735mW VDD_CPU_GPU_CV 1222mW/1143mW/1222mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 06:09:41 RAM 1543/7546MB (lfb 87x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.687C/45.687C soc2@45.437C/45.437C soc0@45.156C/45.156C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.593C/45.625C VDD_IN 5488mW/5570mW/5735mW VDD_CPU_GPU_CV 1025mW/1104mW/1222mW VDD_SOC 1461mW/1487mW/1500mW
09-20-2026 06:09:42 RAM 1573/7546MB (lfb 87x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.437C/45.687C soc2@45.406C/45.437C soc0@45.156C/45.156C gpu@45.781C/45.875C tj@45.781C/45.875C soc1@45.531C/45.625C VDD_IN 5409mW/5530mW/5735mW VDD_CPU_GPU_CV 985mW/1074mW/1222mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 06:09:42 RAM 1597/7546MB (lfb 87x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.562C/45.687C soc2@45.375C/45.437C soc0@45.125C/45.156C gpu@45.875C/45.875C tj@45.875C/45.875C soc1@45.531C/45.625C VDD_IN 5379mW/5500mW/5735mW VDD_CPU_GPU_CV 946mW/1048mW/1222mW VDD_SOC 1461mW/1477mW/1500mW
09-20-2026 06:09:43 RAM 1633/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.5C/45.687C soc2@45.468C/45.468C soc0@45.125C/45.156C gpu@45.718C/45.875C tj@46.062C/46.062C soc1@45.531C/45.625C VDD_IN 5458mW/5493mW/5735mW VDD_CPU_GPU_CV 906mW/1025mW/1222mW VDD_SOC 1500mW/1481mW/1500mW
09-20-2026 06:09:44 RAM 1537/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,1%@1344,3%@1344,1%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.875C/45.875C soc2@45.375C/45.468C soc0@45.156C/45.156C gpu@45.875C/45.875C tj@45.875C/46.062C soc1@45.562C/45.625C VDD_IN 5409mW/5481mW/5735mW VDD_CPU_GPU_CV 946mW/1013mW/1222mW VDD_SOC 1500mW/1483mW/1500mW
09-20-2026 06:09:44 RAM 1575/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,1%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.437C/45.875C soc2@45.406C/45.468C soc0@45.25C/45.25C gpu@45.906C/45.906C tj@45.906C/46.062C soc1@45.812C/45.812C VDD_IN 5409mW/5472mW/5735mW VDD_CPU_GPU_CV 946mW/1005mW/1222mW VDD_SOC 1461mW/1481mW/1500mW
09-20-2026 06:09:45 RAM 1621/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [100%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.343C/45.875C soc2@45.562C/45.562C soc0@45.187C/45.25C gpu@45.812C/45.906C tj@45.812C/46.062C soc1@45.656C/45.812C VDD_IN 5409mW/5465mW/5735mW VDD_CPU_GPU_CV 946mW/998mW/1222mW VDD_SOC 1461mW/1478mW/1500mW
09-20-2026 06:09:45 RAM 1632/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [98%@1344,0%@1344,2%@1344,1%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.437C/45.875C soc2@45.468C/45.562C soc0@45.25C/45.25C gpu@46.031C/46.031C tj@46.031C/46.062C soc1@45.625C/45.812C VDD_IN 5449mW/5463mW/5735mW VDD_CPU_GPU_CV 946mW/993mW/1222mW VDD_SOC 1500mW/1481mW/1500mW
09-20-2026 06:09:46 RAM 1596/7546MB (lfb 88x4MB) SWAP 8/2048MB (cached 3MB) CPU [48%@1344,48%@1344,5%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.281C/45.875C soc2@45.468C/45.562C soc0@45.25C/45.25C gpu@45.687C/46.031C tj@45.687C/46.062C soc1@45.562C/45.812C VDD_IN 5409mW/5458mW/5735mW VDD_CPU_GPU_CV 985mW/992mW/1222mW VDD_SOC 1461mW/1479mW/1500mW
