09-20-2026 06:59:00 RAM 1465/7546MB (lfb 42x4MB) SWAP 23/2048MB (cached 10MB) CPU [17%@1344,15%@1344,98%@1344,21%@1344,16%@729,13%@729] GR3D_FREQ 0% cpu@45.468C/45.468C soc2@44.968C/44.968C soc0@44.781C/44.781C gpu@45.406C/45.406C tj@45.468C/45.468C soc1@45.343C/45.343C VDD_IN 5537mW/5537mW/5537mW VDD_CPU_GPU_CV 985mW/985mW/985mW VDD_SOC 1500mW/1500mW/1500mW
09-20-2026 06:59:01 RAM 1468/7546MB (lfb 42x4MB) SWAP 23/2048MB (cached 10MB) CPU [4%@729,0%@729,44%@729,5%@729,53%@1344,3%@1344] GR3D_FREQ 0% cpu@45.187C/45.468C soc2@45.062C/45.062C soc0@44.781C/44.781C gpu@45.343C/45.406C tj@45.343C/45.468C soc1@45.312C/45.343C VDD_IN 5537mW/5537mW/5537mW VDD_CPU_GPU_CV 946mW/966mW/985mW VDD_SOC 1540mW/1520mW/1540mW
09-20-2026 06:59:01 RAM 1472/7546MB (lfb 23x4MB) SWAP 23/2048MB (cached 10MB) CPU [82%@1344,0%@1344,6%@1344,0%@1344,12%@729,9%@729] GR3D_FREQ 0% cpu@45.125C/45.468C soc2@45C/45.062C soc0@44.937C/44.937C gpu@45.75C/45.75C tj@45.75C/45.75C soc1@45.593C/45.593C VDD_IN 5576mW/5550mW/5576mW VDD_CPU_GPU_CV 946mW/959mW/985mW VDD_SOC 1540mW/1527mW/1540mW
09-20-2026 06:59:02 RAM 1474/7546MB (lfb 23x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,11%@1344,0%@1344,0%@729,0%@729] GR3D_FREQ 0% cpu@45.093C/45.468C soc2@45.125C/45.125C soc0@44.906C/44.937C gpu@45.343C/45.75C tj@45.406C/45.75C soc1@45.406C/45.593C VDD_IN 5576mW/5557mW/5576mW VDD_CPU_GPU_CV 947mW/956mW/985mW VDD_SOC 1540mW/1530mW/1540mW
09-20-2026 06:59:02 RAM 1470/7546MB (lfb 12x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,8%@1344,0%@1344,0%@729,1%@729] GR3D_FREQ 0% cpu@45.187C/45.468C soc2@45.125C/45.125C soc0@44.875C/44.937C gpu@45.812C/45.812C tj@45.812C/45.812C soc1@45.343C/45.593C VDD_IN 5576mW/5560mW/5576mW VDD_CPU_GPU_CV 947mW/954mW/985mW VDD_SOC 1540mW/1532mW/1540mW
09-20-2026 06:59:03 RAM 1376/7546MB (lfb 125x1MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,14%@1344,1%@1344,2%@729,0%@729] GR3D_FREQ 0% cpu@45.531C/45.531C soc2@45.125C/45.125C soc0@44.875C/44.937C gpu@45.593C/45.812C tj@45.593C/45.812C soc1@45.375C/45.593C VDD_IN 5616mW/5570mW/5616mW VDD_CPU_GPU_CV 985mW/959mW/985mW VDD_SOC 1579mW/1540mW/1579mW
09-20-2026 06:59:03 RAM 1290/7546MB (lfb 119x1MB) SWAP 23/2048MB (cached 10MB) CPU [67%@729,0%@729,7%@729,2%@729,39%@1344,2%@1344] GR3D_FREQ 0% cpu@45.156C/45.531C soc2@44.968C/45.125C soc0@44.875C/44.937C gpu@45.812C/45.812C tj@45.812C/45.812C soc1@45.312C/45.593C VDD_IN 5616mW/5576mW/5616mW VDD_CPU_GPU_CV 985mW/963mW/985mW VDD_SOC 1579mW/1545mW/1579mW
09-20-2026 06:59:04 RAM 1195/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [80%@729,1%@729,8%@729,0%@729,20%@1344,9%@1344] GR3D_FREQ 0% cpu@45.375C/45.531C soc2@44.968C/45.125C soc0@44.843C/44.937C gpu@45.593C/45.812C tj@45.625C/45.812C soc1@45.625C/45.625C VDD_IN 5616mW/5581mW/5616mW VDD_CPU_GPU_CV 987mW/966mW/987mW VDD_SOC 1579mW/1550mW/1579mW
09-20-2026 06:59:04 RAM 1105/7546MB (lfb 2x4MB) SWAP 23/2048MB (cached 10MB) CPU [94%@1344,0%@1344,2%@1344,0%@1344,5%@729,9%@729] GR3D_FREQ 0% cpu@45.125C/45.531C soc2@45.125C/45.125C soc0@44.968C/44.968C gpu@45.781C/45.812C tj@45.781C/45.812C soc1@45.5C/45.625C VDD_IN 5616mW/5585mW/5616mW VDD_CPU_GPU_CV 985mW/968mW/987mW VDD_SOC 1579mW/1553mW/1579mW
09-20-2026 06:59:05 RAM 1045/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,11%@1344,0%@1344,0%@729,9%@729] GR3D_FREQ 0% cpu@45.125C/45.531C soc2@45.156C/45.156C soc0@44.968C/44.968C gpu@45.656C/45.812C tj@45.656C/45.812C soc1@45.375C/45.625C VDD_IN 5616mW/5588mW/5616mW VDD_CPU_GPU_CV 987mW/970mW/987mW VDD_SOC 1540mW/1552mW/1579mW
09-20-2026 06:59:05 RAM 982/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,6%@1344,1%@1344,0%@729,8%@729] GR3D_FREQ 0% cpu@45.125C/45.531C soc2@45.125C/45.156C soc0@44.906C/44.968C gpu@45.437C/45.812C tj@45.437C/45.812C soc1@45.406C/45.625C VDD_IN 5616mW/5591mW/5616mW VDD_CPU_GPU_CV 987mW/972mW/987mW VDD_SOC 1540mW/1551mW/1579mW
09-20-2026 06:59:06 RAM 934/7546MB (lfb 4x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,11%@1344,0%@1344,0%@729,10%@729] GR3D_FREQ 0% cpu@45.406C/45.531C soc2@45.125C/45.156C soc0@44.843C/44.968C gpu@45.593C/45.812C tj@45.593C/45.812C soc1@45.375C/45.625C VDD_IN 5616mW/5593mW/5616mW VDD_CPU_GPU_CV 985mW/973mW/987mW VDD_SOC 1540mW/1550mW/1579mW
09-20-2026 06:59:06 RAM 877/7546MB (lfb 31x1MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,8%@1344,0%@1344,1%@729,10%@729] GR3D_FREQ 0% cpu@45.218C/45.531C soc2@45.125C/45.156C soc0@45.125C/45.125C gpu@45.531C/45.812C tj@45.531C/45.812C soc1@45.343C/45.625C VDD_IN 5616mW/5595mW/5616mW VDD_CPU_GPU_CV 985mW/974mW/987mW VDD_SOC 1540mW/1549mW/1579mW
09-20-2026 06:59:07 RAM 839/7546MB (lfb 2x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,13%@1344,0%@1344,0%@729,11%@729] GR3D_FREQ 0% cpu@45.25C/45.531C soc2@45.281C/45.281C soc0@45.093C/45.125C gpu@45.406C/45.812C tj@45.5C/45.812C soc1@45.5C/45.625C VDD_IN 5616mW/5596mW/5616mW VDD_CPU_GPU_CV 987mW/975mW/987mW VDD_SOC 1579mW/1551mW/1579mW
09-20-2026 06:59:07 RAM 807/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,6%@1344,0%@1344,0%@729,8%@729] GR3D_FREQ 0% cpu@45.156C/45.531C soc2@45.187C/45.281C soc0@44.937C/45.125C gpu@45.781C/45.812C tj@45.781C/45.812C soc1@45.437C/45.625C VDD_IN 5616mW/5597mW/5616mW VDD_CPU_GPU_CV 987mW/975mW/987mW VDD_SOC 1579mW/1553mW/1579mW
09-20-2026 06:59:08 RAM 770/7546MB (lfb 5x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,11%@1344,0%@1344,0%@729,11%@729] GR3D_FREQ 0% cpu@45.468C/45.531C soc2@45.125C/45.281C soc0@44.968C/45.125C gpu@45.406C/45.812C tj@45.468C/45.812C soc1@45.468C/45.625C VDD_IN 5616mW/5599mW/5616mW VDD_CPU_GPU_CV 987mW/976mW/987mW VDD_SOC 1540mW/1552mW/1579mW
09-20-2026 06:59:08 RAM 740/7546MB (lfb 1x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,15%@1344,1%@1344,1%@729,11%@729] GR3D_FREQ 0% cpu@45.625C/45.625C soc2@45.187C/45.281C soc0@44.968C/45.125C gpu@45.843C/45.843C tj@45.843C/45.843C soc1@45.375C/45.625C VDD_IN 5616mW/5600mW/5616mW VDD_CPU_GPU_CV 987mW/977mW/987mW VDD_SOC 1540mW/1551mW/1579mW
09-20-2026 06:59:09 RAM 727/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,11%@1344,0%@1344,0%@729,11%@729] GR3D_FREQ 0% cpu@45.343C/45.625C soc2@45.187C/45.281C soc0@45.062C/45.125C gpu@45.625C/45.843C tj@45.625C/45.843C soc1@45.5C/45.625C VDD_IN 5616mW/5601mW/5616mW VDD_CPU_GPU_CV 987mW/977mW/987mW VDD_SOC 1542mW/1551mW/1579mW
09-20-2026 06:59:09 RAM 717/7546MB (lfb 2x4MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,10%@1344,0%@1344,1%@729,10%@729] GR3D_FREQ 0% cpu@45.218C/45.625C soc2@45.25C/45.281C soc0@45.093C/45.125C gpu@45.843C/45.843C tj@45.843C/45.843C soc1@45.468C/45.625C VDD_IN 5616mW/5601mW/5616mW VDD_CPU_GPU_CV 987mW/978mW/987mW VDD_SOC 1540mW/1550mW/1579mW
09-20-2026 06:59:10 RAM 704/7546MB (lfb 3x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,0%@1344,8%@1344,0%@1344,0%@729,10%@729] GR3D_FREQ 0% cpu@45.25C/45.625C soc2@45.25C/45.281C soc0@44.968C/45.125C gpu@45.562C/45.843C tj@45.562C/45.843C soc1@45.468C/45.625C VDD_IN 5616mW/5602mW/5616mW VDD_CPU_GPU_CV 987mW/978mW/987mW VDD_SOC 1579mW/1552mW/1579mW
09-20-2026 06:59:10 RAM 677/7546MB (lfb 1x2MB) SWAP 23/2048MB (cached 10MB) CPU [100%@1344,1%@1344,11%@1344,0%@1344,0%@729,11%@729] GR3D_FREQ 0% cpu@45.125C/45.625C soc2@45.343C/45.343C soc0@44.968C/45.125C gpu@45.5C/45.843C tj@45.531C/45.843C soc1@45.531C/45.625C VDD_IN 5616mW/5603mW/5616mW VDD_CPU_GPU_CV 987mW/979mW/987mW VDD_SOC 1579mW/1553mW/1579mW
